Nº ocorrência;Data;Aeronave;Classificação;Tipo;Subtipo;Localidade;UF;Segmento;Status;Link
80446;20/12/2021;PTKSG;ACIDENTE;CFIT;VOO CONTROLADO CONTRA O TERRENO;JACAREACANGA;PA;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
80176;12/07/2021;PPFJZ;ACIDENTE;GTOW;REBOQUE DE PLANADOR;BEBEDOURO;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
80176;12/07/2021;PPFJZ;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;BEBEDOURO;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
80176;12/07/2021;PPGAP;ACIDENTE;GTOW;REBOQUE DE PLANADOR;BEBEDOURO;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
80176;12/07/2021;PPGAP;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;BEBEDOURO;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
80156;03/07/2021;PPGSV;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;CAMPINAS;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
80156;03/07/2021;PPGSV;ACIDENTE;RE;EXCURSÃO DE PISTA;CAMPINAS;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
79989;22/03/2021;PTJGA;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;JI-PARANÁ;RO;PARTICULAR;FINALIZADA;SAIBA MAIS
79983;20/03/2021;PPGKM;ACIDENTE;RE;EXCURSÃO DE PISTA;SANTO ÂNGELO;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
79973;14/03/2021;PTPKA;ACIDENTE;GTOW;REBOQUE DE PLANADOR;ERECHIM;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
79961;09/03/2021;PREJR;ACIDENTE;ARC;POUSO BRUSCO;AMERICANA;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
79947;02/03/2021;PTOIW;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;ARARAS;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
79947;02/03/2021;PTOIW;ACIDENTE;RE;EXCURSÃO DE PISTA;ARARAS;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
79924;28/02/2021;PRAAD;INCIDENTE GRAVE;ARC;POUSO SEM TREM;AMERICANA;SP;ESPECIALIZADA;FINALIZADA;SAIBA MAIS
79909;23/02/2021;PTWIY;ACIDENTE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;MIRASSOL D'OESTE;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
79824;28/12/2020;PRALA;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;RIO PARANAÍBA;MG;AGRÍCOLA;FINALIZADA;SAIBA MAIS
79748;23/12/2020;PRDBO;ACIDENTE;RE;EXCURSÃO DE PISTA;SANTANA DO LIVRAMENTO;RS;AGRÍCOLA;FINALIZADA;SAIBA MAIS
79692;28/11/2020;PPHRH;ACIDENTE;RE;POUSO LONGO;CATANDUVA;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
79651;30/10/2020;PTZNQ;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;BRASÍLIA;DF;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
79651;30/10/2020;PTZNQ;ACIDENTE;RE;EXCURSÃO DE PISTA;BRASÍLIA;DF;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
79651;30/10/2020;PTZNQ;ACIDENTE;SCF-NP;COM TREM DE POUSO;BRASÍLIA;DF;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
79559;19/09/2020;PRZBG;ACIDENTE;RE;POUSO LONGO;BRUSQUE;SC;PARTICULAR;FINALIZADA;SAIBA MAIS
79536;08/09/2020;PTRXI;ACIDENTE;GCOL;COLISÃO COM OBSTÁCULOS NO SOLO;SANTA ROSA;RS;PARTICULAR;FINALIZADA;SAIBA MAIS
79520;03/09/2020;PTKJU;ACIDENTE;OTHR;COM TRANSPORTE DE CARGA;CAMPO GRANDE;MS;PARTICULAR;FINALIZADA;SAIBA MAIS
79505;26/08/2020;PPGMC;ACIDENTE;ARC;CONTATO ANORMAL COM A PISTAA;GUARATINGUETÁ;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
79505;26/08/2020;PPGMC;ACIDENTE;RE;EXCURSÃO DE PISTA;GUARATINGUETÁ;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
79446;16/07/2020;PPEOW;ACIDENTE;OTHR;COM LANÇAMENTO DE PESSOAS;ÁLVARES MACHADO;SP;ADMINISTRAÇÃO DIRETA;FINALIZADA;SAIBA MAIS
79429;26/06/2020;PPBSB;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;ARAPONGAS;PR;PARTICULAR;FINALIZADA;SAIBA MAIS
79362;31/05/2020;PTTBI;ACIDENTE;RE;EXCURSÃO DE PISTA;TIJUCAS;SC;PARTICULAR;FINALIZADA;SAIBA MAIS
79363;27/05/2020;PRFPM;INCIDENTE GRAVE;LOC-I;PERDA DE CONTROLE EM VOO;RIO DE JANEIRO;RJ;ADMINISTRAÇÃO DIRETA;FINALIZADA;SAIBA MAIS
79365;19/05/2020;PTVEH;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;TIETÊ;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
79340;16/05/2020;PPZGA;ACIDENTE;RE;EXCURSÃO DE PISTA;LÁBREA;AM;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
79346;15/05/2020;PRAAT;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;ILHOTA;SC;AGRÍCOLA;FINALIZADA;SAIBA MAIS
79345;14/05/2020;PROVA;ACIDENTE;SCF-NP;COM TREM DE POUSO;VOTUPORANGA;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
79323;01/05/2020;PPGJH;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;BLUMENAU;SC;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
79317;27/04/2020;PTOBU;ACIDENTE;RE;EXCURSÃO DE PISTA;MANAUS;AM;PARTICULAR;FINALIZADA;SAIBA MAIS
79234;13/03/2020;PRGSG;ACIDENTE;UNK;INDETERMINADO;TEFÉ;AM;PARTICULAR;FINALIZADA;SAIBA MAIS
79231;07/03/2020;PRENZ;ACIDENTE;RI;INCURSÃO EM PISTA;VILHENA;RO;ESPECIALIZADA;FINALIZADA;SAIBA MAIS
79213;05/03/2020;PPFLF;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;RIO CLARO;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
79204;28/02/2020;PTEAQ;ACIDENTE;OTHR;OUTROS;COLNIZA;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
79183;22/02/2020;PRDDQ;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;CURITIBA;PR;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
79206;19/02/2020;PTAOP;ACIDENTE;FUEL;COMBUSTÍVEL;GUARAPARI;ES;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
79206;19/02/2020;PTAOP;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;GUARAPARI;ES;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
79111;04/02/2020;PTUED;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;SANTO ÂNGELO;RS;AGRÍCOLA;FINALIZADA;SAIBA MAIS
79124;25/01/2020;PUJJL;ACIDENTE;LALT;OPERAÇÃO A BAIXA ALTITUDE;LEME;SP;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
79124;25/01/2020;PUJJL;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;LEME;SP;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
79125;16/01/2020;PREBS;INCIDENTE GRAVE;OTHR;DESORIENTAÇÃO ESPACIAL;CAUCAIA;CE;ADMINISTRAÇÃO DIRETA;FINALIZADA;SAIBA MAIS
79120;15/01/2020;PRKPC;ACIDENTE;LALT;OPERAÇÃO A BAIXA ALTITUDE;CRUZ ALTA;RS;AGRÍCOLA;FINALIZADA;SAIBA MAIS
79102;31/12/2019;PTZAC;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;JUIZ DE FORA;MG;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
79102;31/12/2019;PTZAC;ACIDENTE;RE;EXCURSÃO DE PISTA;JUIZ DE FORA;MG;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
78839;29/11/2019;PTUGJ;ACIDENTE;RI;INCURSÃO EM PISTA;GUARARAPES;SP;AGRÍCOLA;FINALIZADA;SAIBA MAIS
78838;28/11/2019;PTWUJ;ACIDENTE;RE;EXCURSÃO DE PISTA;SANTA MARGARIDA DO SUL;RS;AGRÍCOLA;FINALIZADA;SAIBA MAIS
78838;28/11/2019;PTWUJ;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;SANTA MARGARIDA DO SUL;RS;AGRÍCOLA;FINALIZADA;SAIBA MAIS
78833;21/11/2019;PRSLO;ACIDENTE;ARC;POUSO BRUSCO;SÃO PAULO;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
78832;14/11/2019;PTLTJ;ACIDENTE;USOS;POUSO ANTES DA PISTA;MARAÚ;BA;PARTICULAR;FINALIZADA;SAIBA MAIS
78831;12/11/2019;PRLUK;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;SANTARÉM;PA;PARTICULAR;FINALIZADA;SAIBA MAIS
78793;19/10/2019;PRTHI;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;PARÁ DE MINAS;MG;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
78793;19/10/2019;PRTHI;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;PARÁ DE MINAS;MG;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
80258;16/10/2019;PTRXE;ACIDENTE;RE;EXCURSÃO DE PISTA;TANGARÁ DA SERRA;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
80258;16/10/2019;PTRXE;ACIDENTE;WILD;COLISÃO COM FAUNA;TANGARÁ DA SERRA;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
78785;16/09/2019;PTMHC;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;MANAUS;AM;REGULAR;FINALIZADA;SAIBA MAIS
78780;07/09/2019;PUVVS;ACIDENTE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;ATIBAIA;SP;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
78780;07/09/2019;PUVVS;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;ATIBAIA;SP;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
78780;07/09/2019;PUVVS;ACIDENTE;RE;EXCURSÃO DE PISTA;ATIBAIA;SP;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
78770;07/08/2019;PREAM;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;MANAUS;AM;ADMINISTRAÇÃO DIRETA;FINALIZADA;SAIBA MAIS
78768;27/07/2019;PUSRT;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;BRAGANÇA PAULISTA;SP;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
78768;27/07/2019;PUSRT;ACIDENTE;RE;POUSO LONGO;BRAGANÇA PAULISTA;SP;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
78766;26/07/2019;PTOBL;ACIDENTE;SCF-NP;COM TREM DE POUSO;CRUZEIRO DO SUL;AC;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
78760;20/07/2019;PTOVL;ACIDENTE;SCF-NP;COM TREM DE POUSO;AMERICANA;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
78757;12/07/2019;PTCON;ACIDENTE;UNK;INDETERMINADO;ATIBAIA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
78751;30/06/2019;PRRMH;ACIDENTE;RE;POUSO LONGO;ALTA FLORESTA;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
78750;29/06/2019;PTDNE;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;CANELA;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
78750;29/06/2019;PTDNE;ACIDENTE;RE;EXCURSÃO DE PISTA;CANELA;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
78748;26/06/2019;PRARJ;ACIDENTE;SCF-NP;COM TREM DE POUSO;ITAITUBA;PA;PARTICULAR;FINALIZADA;SAIBA MAIS
78743;18/06/2019;PTNXT;ACIDENTE;RE;EXCURSÃO DE PISTA;LAGES;SC;PARTICULAR;FINALIZADA;SAIBA MAIS
78743;18/06/2019;PTNXT;ACIDENTE;SCF-NP;COM TREM DE POUSO;LAGES;SC;PARTICULAR;FINALIZADA;SAIBA MAIS
78741;12/06/2019;PRVVV;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;CAMPO GRANDE;MS;PARTICULAR;FINALIZADA;SAIBA MAIS
78813;03/05/2019;PTRZN;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;VILA RICA;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
78812;03/05/2019;PUPRI;ACIDENTE;UNK;INDETERMINADO;CONCÓRDIA;SC;EXPERIMENTAL;FINALIZADA;SAIBA MAIS
78714;28/04/2019;PPMJT;ACIDENTE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;PORTO BELO;SC;PARTICULAR;FINALIZADA;SAIBA MAIS
78714;28/04/2019;PPMJT;ACIDENTE;RE;EXCURSÃO DE PISTA;PORTO BELO;SC;PARTICULAR;FINALIZADA;SAIBA MAIS
79064;15/04/2019;PTFTZ;INCIDENTE GRAVE;OTHR;POUSO EM LOCAL NÃO PREVISTO;GOIÂNIA;GO;PARTICULAR;FINALIZADA;SAIBA MAIS
79456;12/04/2019;PRCST;ACIDENTE;ADRM;AERÓDROMO;NOVO PROGRESSO;PA;PARTICULAR;FINALIZADA;SAIBA MAIS
79456;12/04/2019;PRCST;ACIDENTE;RE;EXCURSÃO DE PISTA;NOVO PROGRESSO;PA;PARTICULAR;FINALIZADA;SAIBA MAIS
78643;10/04/2019;PTWOW;ACIDENTE;RE;EXCURSÃO DE PISTA;BELO HORIZONTE;MG;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
78610;23/03/2019;PTLOK;ACIDENTE;LALT;OPERAÇÃO A BAIXA ALTITUDE;BENTO GONÇALVES;RS;PARTICULAR;FINALIZADA;SAIBA MAIS
78610;23/03/2019;PTLOK;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;BENTO GONÇALVES;RS;PARTICULAR;FINALIZADA;SAIBA MAIS
78612;23/03/2019;PTNMJ;ACIDENTE;ARC;POUSO BRUSCO;BIRITIBA-MIRIM;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
78608;21/03/2019;PTLNG;ACIDENTE;WILD;COLISÃO COM FAUNA;SANTA INÊS;MA;PARTICULAR;FINALIZADA;SAIBA MAIS
78590;12/03/2019;PRAQV;INCIDENTE GRAVE;SCF-PP;FALHA DO MOTOR NO SOLO;CAMPINAS;SP;REGULAR;FINALIZADA;SAIBA MAIS
79494;08/03/2019;PRAAT;ACIDENTE;FUEL;PANE SECA;LUIZ ALVES;SC;AGRÍCOLA;FINALIZADA;SAIBA MAIS
78564;03/03/2019;PROCW;ACIDENTE;USOS;POUSO AQUÉM/ALÉM DA PISTA;RIO DE JANEIRO;RJ;REGULAR;FINALIZADA;SAIBA MAIS
78550;23/02/2019;PTVUU;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;SÃO DESIDÉRIO;BA;PARTICULAR;FINALIZADA;SAIBA MAIS
78552;22/02/2019;PRRCS;ACIDENTE;SCF-NP;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;LONDRINA;PR;PARTICULAR;FINALIZADA;SAIBA MAIS
78497;01/02/2019;PRBRU;INCIDENTE GRAVE;GCOL;COLISÃO COM OBSTÁCULOS NO SOLO;CARAUARI;AM;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
80368;01/02/2019;PRWYN;ACIDENTE;ARC;POUSO BRUSCO;GOIÂNIA;GO;PARTICULAR;FINALIZADA;SAIBA MAIS
78455;21/01/2019;PRFBA;ACIDENTE;LALT;OPERAÇÃO A BAIXA ALTITUDE;JAGUARÉ;ES;AGRÍCOLA;FINALIZADA;SAIBA MAIS
78411;02/01/2019;PPBGG;INCIDENTE GRAVE;MAC;TRÁFEGO AÉREO;RECIFE;PE;PARTICULAR;FINALIZADA;SAIBA MAIS
78411;02/01/2019;PRYRA;INCIDENTE GRAVE;MAC;TRÁFEGO AÉREO;RECIFE;PE;REGULAR;FINALIZADA;SAIBA MAIS
78397;01/01/2019;PPMAX;ACIDENTE;RE;EXCURSÃO DE PISTA;PORTO BELO;SC;PARTICULAR;FINALIZADA;SAIBA MAIS
78397;01/01/2019;PPMAX;ACIDENTE;SCF-NP;COM TREM DE POUSO;PORTO BELO;SC;PARTICULAR;FINALIZADA;SAIBA MAIS
78383;23/12/2018;PRAQZ;INCIDENTE GRAVE;F-NI;FUMAÇA NA CABINE;MACEIÓ;AL;REGULAR;FINALIZADA;SAIBA MAIS
78380;20/12/2018;PTMUG;INCIDENTE GRAVE;SCF-NP;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CONFINS;MG;REGULAR;FINALIZADA;SAIBA MAIS
78352;08/12/2018;PPVSM;ACIDENTE;RE;EXCURSÃO DE PISTA;ITAITUBA;PA;PARTICULAR;FINALIZADA;SAIBA MAIS
78353;08/12/2018;PRBDD;ACIDENTE;ARC;POUSO SEM TREM;CAPITÓLIO;MG;PARTICULAR;FINALIZADA;SAIBA MAIS
78348;02/12/2018;PPJFB;INCIDENTE GRAVE;OTHR;POUSO EM LOCAL NÃO PREVISTO;GOIÂNIA;GO;PARTICULAR;FINALIZADA;SAIBA MAIS
78341;28/11/2018;YV2937;INCIDENTE GRAVE;RE;EXCURSÃO DE PISTA;MANAUS;AM;REGULAR;FINALIZADA;SAIBA MAIS
78338;27/11/2018;PRSAC;INCIDENTE GRAVE;ARC;POUSO SEM TREM;CRUZEIRO DO SUL;AC;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
78337;26/11/2018;PPOEG;ACIDENTE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;JEQUITAÍ;MG;PARTICULAR;FINALIZADA;SAIBA MAIS
78296;09/11/2018;PPGVQ;ACIDENTE;RE;EXCURSÃO DE PISTA;BRAGANÇA PAULISTA;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
78256;18/10/2018;PPHCP;ACIDENTE;OTHR;CAUSADO POR FENÔMENO METEOROLÓGICO NO SOLO;MARINGÁ;PR;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
78235;08/10/2018;PTICR;INCIDENTE GRAVE;OTHR;OUTROS;PASSO FUNDO;RS;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
78207;28/09/2018;PRWSA;ACIDENTE;ARC;CONTATO ANORMAL COM A PISTAA;RAPOSA;MA;PARTICULAR;FINALIZADA;SAIBA MAIS
78203;26/09/2018;PTMXH;INCIDENTE GRAVE;RI;INCURSÃO EM PISTA;SÃO PAULO;SP;REGULAR;FINALIZADA;SAIBA MAIS
78200;24/09/2018;PRTLZ;ACIDENTE;RE;EXCURSÃO DE PISTA;FOZ DO IGUAÇU;PR;PARTICULAR;FINALIZADA;SAIBA MAIS
78200;24/09/2018;PRTLZ;ACIDENTE;WSTRW;CORTANTE DE VENTO / TEMPESTADE;FOZ DO IGUAÇU;PR;PARTICULAR;FINALIZADA;SAIBA MAIS
78176;10/09/2018;PTLJS;ACIDENTE;ARC;POUSO SEM TREM;ARAÇATUBA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
78093;30/07/2018;PPLAV;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;COCALINHO;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
78081;29/07/2018;PPGNY;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;PONTA GROSSA;PR;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
78055;22/07/2018;PTGMA;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;CAIRU;BA;PARTICULAR;FINALIZADA;SAIBA MAIS
78033;16/07/2018;PRGGD;ACIDENTE;SCF-NP;COM TREM DE POUSO;CONFINS;MG;REGULAR;FINALIZADA;SAIBA MAIS
78031;12/07/2018;PREJK;ACIDENTE;MAC;TRÁFEGO AÉREO;ITÁPOLIS;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
78031;12/07/2018;PRJEA;ACIDENTE;MAC;TRÁFEGO AÉREO;ITÁPOLIS;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
78018;08/07/2018;PTAPU;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;BAURU;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
78018;08/07/2018;PTAPU;ACIDENTE;RE;EXCURSÃO DE PISTA;BAURU;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
77995;30/06/2018;PTBMZ;ACIDENTE;ARC;POUSO BRUSCO;TORRES;RS;PARTICULAR;FINALIZADA;SAIBA MAIS
77963;17/06/2018;PPMEY;ACIDENTE;ADRM;AERÓDROMO;BRASILÂNDIA;MS;PARTICULAR;FINALIZADA;SAIBA MAIS
77923;30/05/2018;PRVIM;ACIDENTE;SCF-NP;COM TREM DE POUSO;SÃO FÉLIX DO ARAGUAIA;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
77896;17/05/2018;PRFDM;INCIDENTE GRAVE;LALT;OPERAÇÃO A BAIXA ALTITUDE;IRAÍ DE MINAS;MG;AGRÍCOLA;FINALIZADA;SAIBA MAIS
77861;27/04/2018;PRVAL;INCIDENTE GRAVE;SCF-NP;ESTOURO DE PNEU;OURILÂNDIA DO NORTE;PA;PARTICULAR;FINALIZADA;SAIBA MAIS
77807;10/04/2018;PRWDB;ACIDENTE;RE;EXCURSÃO DE PISTA;CAMPO GRANDE;MS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
77807;10/04/2018;PRWDB;ACIDENTE;WILD;COLISÃO COM FAUNA;CAMPO GRANDE;MS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
77803;09/04/2018;PRGTN;INCIDENTE GRAVE;RI;INCURSÃO EM PISTA;BRASÍLIA;DF;REGULAR;FINALIZADA;SAIBA MAIS
77766;23/03/2018;PPGQA;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;CANELA;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
77695;22/02/2018;PRSDU;INCIDENTE GRAVE;OTHR;OUTROS;BRASÍLIA;DF;NÃO REGULAR;FINALIZADA;SAIBA MAIS
77695;22/02/2018;PRSDU;INCIDENTE GRAVE;OTHR;PROBLEMAS FISIOLÓGICOS;BRASÍLIA;DF;NÃO REGULAR;FINALIZADA;SAIBA MAIS
77724;19/02/2018;PPGBP;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;NOVO HORIZONTE;SC;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
77724;19/02/2018;PPGBP;ACIDENTE;RE;EXCURSÃO DE PISTA;NOVO HORIZONTE;SC;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
77684;26/01/2018;PTWUX;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;ARROIO GRANDE;RS;AGRÍCOLA;FINALIZADA;SAIBA MAIS
77697;23/01/2018;PTIYH;ACIDENTE;RE;EXCURSÃO DE PISTA;ITAITUBA;PA;PARTICULAR;FINALIZADA;SAIBA MAIS
77686;19/01/2018;PTJKY;ACIDENTE;USOS;POUSO ANTES DA PISTA;GARIBALDI;RS;PARTICULAR;FINALIZADA;SAIBA MAIS
77650;18/01/2018;PPHOJ;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;JUIZ DE FORA;MG;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
77672;13/01/2018;PRGAT;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;FORMOSA DO RIO PRETO;BA;PARTICULAR;FINALIZADA;SAIBA MAIS
77672;13/01/2018;PRGAT;ACIDENTE;RE;EXCURSÃO DE PISTA;FORMOSA DO RIO PRETO;BA;PARTICULAR;FINALIZADA;SAIBA MAIS
77639;10/01/2018;PRNAS;ACIDENTE;UNK;INDETERMINADO;DOM PEDRITO;RS;AGRÍCOLA;FINALIZADA;SAIBA MAIS
77638;10/01/2018;PTWKV;ACIDENTE;UNK;INDETERMINADO;DOM PEDRITO;RS;AGRÍCOLA;FINALIZADA;SAIBA MAIS
77610;04/01/2018;PPSCF;INCIDENTE GRAVE;SCF-NP;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;RIO DE JANEIRO;RJ;PARTICULAR;FINALIZADA;SAIBA MAIS
77202;29/12/2017;PPWGS;INCIDENTE GRAVE;RE;EXCURSÃO DE PISTA;UBATUBA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
77248;09/12/2017;PTOTV;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;GOIÂNIA;GO;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
77259;06/12/2017;PTOCL;ACIDENTE;ARC;POUSO SEM TREM;NAVEGANTES;SC;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
77267;03/12/2017;PROTO;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;ELDORADO;MS;PARTICULAR;FINALIZADA;SAIBA MAIS
77267;03/12/2017;PROTO;ACIDENTE;RE;EXCURSÃO DE PISTA;ELDORADO;MS;PARTICULAR;FINALIZADA;SAIBA MAIS
77276;30/11/2017;PRMBG;INCIDENTE GRAVE;OTHR;CAUSADO POR FENÔMENO METEOROLÓGICO NO SOLO;BRASÍLIA;DF;REGULAR;FINALIZADA;SAIBA MAIS
77276;30/11/2017;PRMBG;INCIDENTE GRAVE;RE;EXCURSÃO DE PISTA;BRASÍLIA;DF;REGULAR;FINALIZADA;SAIBA MAIS
77278;30/11/2017;PTJVM;ACIDENTE;SCF-NP;COM TREM DE POUSO;MARINGÁ;PR;PARTICULAR;FINALIZADA;SAIBA MAIS
77301;25/11/2017;PTUZI;ACIDENTE;SCF-NP;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;UBARANA;SP;AGRÍCOLA;FINALIZADA;SAIBA MAIS
77316;19/11/2017;PRMFP;ACIDENTE;RE;EXCURSÃO DE PISTA;SÃO PAULO;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
77320;18/11/2017;PRGXW;INCIDENTE GRAVE;RE;POUSO LONGO;FOZ DO IGUAÇU;PR;REGULAR;FINALIZADA;SAIBA MAIS
77324;17/11/2017;PTDNY;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;SANTARÉM;PA;PARTICULAR;FINALIZADA;SAIBA MAIS
77337;13/11/2017;PREGD;INCIDENTE GRAVE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;JOÃO PESSOA;PB;PARTICULAR;FINALIZADA;SAIBA MAIS
77349;11/11/2017;PTOIY;ACIDENTE;ARC;POUSO SEM TREM;JI-PARANÁ;RO;PARTICULAR;FINALIZADA;SAIBA MAIS
