Nº ocorrência;Data;Aeronave;Classificação;Tipo;Subtipo;Localidade;UF;Segmento;Status;Link
49116;16/07/2013;PROKK;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;MANAUS;AM;PARTICULAR;FINALIZADA;SAIBA MAIS
49121;06/07/2013;PPGLJ;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;FORMOSA;GO;PARTICULAR;FINALIZADA;SAIBA MAIS
49117;06/07/2013;PTITQ;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;GOIÂNIA;GO;PARTICULAR;FINALIZADA;SAIBA MAIS
49157;28/06/2013;PPGUR;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;ERECHIM;RS;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
48879;26/06/2013;PPFPO;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;BELÉM;PA;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
48881;26/06/2013;PRWIL;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;VALENÇA;RJ;PARTICULAR;FINALIZADA;SAIBA MAIS
48878;25/06/2013;PPJGO;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;PENÁPOLIS;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
48876;24/06/2013;PPPLE;ACIDENTE;ARC;POUSO SEM TREM;TRÊS LAGOAS;MS;PARTICULAR;FINALIZADA;SAIBA MAIS
48772;05/06/2013;PTRXY;ACIDENTE;SCF-NP;COM TREM DE POUSO;MARÍLIA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
48654;31/05/2013;PTWCM;ACIDENTE;ARC;POUSO SEM TREM;GUARULHOS;SP;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
48652;30/05/2013;PRDJC;ACIDENTE;[RAMP];OPERAÇÕES NO SOLO;GUARAMIRANGA;CE;PARTICULAR;FINALIZADA;SAIBA MAIS
48630;30/05/2013;PTBCR;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;RESENDE;RJ;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
48661;25/05/2013;PPGIX;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;TIETÊ;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
48438;18/05/2013;PTLPZ;ACIDENTE;RE;POUSO LONGO;SÃO PAULO;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
48055;08/05/2013;PPGMR;INCIDENTE GRAVE;LOC-I;PERDA DE CONTROLE EM VOO;LONDRINA;PR;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
48012;08/05/2013;PTHML;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;RIO DE JANEIRO;RJ;MÚLTIPLA;FINALIZADA;SAIBA MAIS
48804;08/05/2013;PTORI;INCIDENTE GRAVE;SCF-PP;FALHA DO MOTOR EM VOO;CRUZ ALTA;RS;PARTICULAR;FINALIZADA;SAIBA MAIS
47697;21/04/2013;PRETJ;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;JUNDIAÍ;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
47876;21/04/2013;PTICH;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;SINOP;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
47938;13/04/2013;CSTOF;INCIDENTE;GCOL;COLISÃO COM OBSTÁCULOS NO SOLO;BRASÍLIA;DF;REGULAR;FINALIZADA;SAIBA MAIS
47649;12/04/2013;PTOMW;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;CAMPO MOURÃO;PR;ESPECIALIZADA;FINALIZADA;SAIBA MAIS
47156;18/03/2013;PTUCN;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;ROSÁRIO DO SUL;RS;ESPECIALIZADA;FINALIZADA;SAIBA MAIS
47142;12/03/2013;PTVAQ;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;ALMEIRIM;PA;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
47133;06/03/2013;PRFSF;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;RIACHÃO DAS NEVES;BA;PARTICULAR;FINALIZADA;SAIBA MAIS
47075;02/03/2013;PTWNM;ACIDENTE;SCF-NP;COM PARA-BRISAS / JANELA / PORTA;TEFÉ;AM;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
47110;01/03/2013;PRTPL;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;VILA BELA DA SANTÍSSIMA TRINDADE;MT;AGRÍCOLA;FINALIZADA;SAIBA MAIS
47015;16/02/2013;PRPAD;ACIDENTE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;PERDIZES;MG;AGRÍCOLA;FINALIZADA;SAIBA MAIS
47012;08/02/2013;PRCEO;ACIDENTE;USOS;POUSO ANTES DA PISTA;CERES;GO;PARTICULAR;FINALIZADA;SAIBA MAIS
46919;30/01/2013;PTOMU;INCIDENTE GRAVE;RE;EXCURSÃO DE PISTA;RESENDE;RJ;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
46873;27/01/2013;PPGHE;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;RECIFE;PE;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
46865;25/01/2013;PRJFN;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;GOIÂNIA;GO;PARTICULAR;FINALIZADA;SAIBA MAIS
46852;24/01/2013;PTEUP;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;MANAUS;AM;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
46858;18/01/2013;PREJX;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;PIRACICABA;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
46856;17/01/2013;PTOVE;ACIDENTE;SCF-NP;COM TREM DE POUSO;MARINGÁ;PR;PARTICULAR;FINALIZADA;SAIBA MAIS
46860;11/01/2013;PTRIK;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;RIO BRANCO;AC;PARTICULAR;FINALIZADA;SAIBA MAIS
46781;31/12/2012;PTGSB;ACIDENTE;LOC-I;PERDA DE CONTROLE EM VOO;SONORA;MS;AGRÍCOLA;FINALIZADA;SAIBA MAIS
46781;31/12/2012;PTGSB;ACIDENTE;SCF-NP;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SONORA;MS;AGRÍCOLA;FINALIZADA;SAIBA MAIS
46756;20/12/2012;PPGSV;INCIDENTE GRAVE;LOC-I;PERDA DE CONTROLE EM VOO;CAMPINAS;SP;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
46751;13/12/2012;PTGXN;ACIDENTE;RE;EXCURSÃO DE PISTA;URUGUAIANA;RS;AGRÍCOLA;FINALIZADA;SAIBA MAIS
46746;07/12/2012;PTUMV;ACIDENTE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;PRIMAVERA DO LESTE;MT;AGRÍCOLA;FINALIZADA;SAIBA MAIS
46712;06/12/2012;PTVKO;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;BELÉM;PA;PARTICULAR;FINALIZADA;SAIBA MAIS
46712;06/12/2012;PTVKO;INCIDENTE GRAVE;RE;EXCURSÃO DE PISTA;BELÉM;PA;PARTICULAR;FINALIZADA;SAIBA MAIS
46630;01/12/2012;PTBMG;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;JAÚ;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
46590;22/11/2012;PPMEJ;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;MARICÁ;RJ;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
46587;19/11/2012;PTWFO;ACIDENTE;SCF-NP;COM TREM DE POUSO;CAMPO GRANDE;MS;ADMINISTRAÇÃO DIRETA;FINALIZADA;SAIBA MAIS
46570;11/11/2012;PRMRG;ACIDENTE;RE;POUSO LONGO;SÃO PAULO;SP;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
46584;08/11/2012;PTVUF;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;ARAPUTANGA;MT;PARTICULAR;FINALIZADA;SAIBA MAIS
46564;03/11/2012;PRBRO;ACIDENTE;SCF-PP;FALHA DO MOTOR EM VOO;GOIÂNIA;GO;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
46449;10/10/2012;PRPNM;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;PORTO ALEGRE;RS;PARTICULAR;FINALIZADA;SAIBA MAIS
46449;10/10/2012;PRPNM;ACIDENTE;RE;EXCURSÃO DE PISTA;PORTO ALEGRE;RS;PARTICULAR;FINALIZADA;SAIBA MAIS
46445;07/10/2012;PTELG;INCIDENTE GRAVE;SCF-NP;COM TREM DE POUSO;CATANDUVA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
46443;03/10/2012;PPITZ;INCIDENTE GRAVE;SCF-PP;FALHA DO MOTOR EM VOO;TEFÉ;AM;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
46446;28/09/2012;PRATH;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;CASCAVEL;PR;REGULAR;FINALIZADA;SAIBA MAIS
46446;28/09/2012;PRATH;INCIDENTE GRAVE;RE;EXCURSÃO DE PISTA;CASCAVEL;PR;REGULAR;FINALIZADA;SAIBA MAIS
46415;25/09/2012;PTHSN;ACIDENTE;SCF-NP;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FOZ DO IGUAÇU;PR;MÚLTIPLA;FINALIZADA;SAIBA MAIS
46411;23/09/2012;PRYRG;ACIDENTE;GCOL;COLISÃO COM OBSTÁCULOS NO SOLO;BELÉM;PA;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
46337;12/09/2012;PPKBU;ACIDENTE;LOC-G;PERDA DE CONTROLE NO SOLO;ALTO PARAÍSO DE GOIÁS;GO;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
46337;12/09/2012;PPKBU;ACIDENTE;RE;EXCURSÃO DE PISTA;ALTO PARAÍSO DE GOIÁS;GO;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
46451;30/08/2012;PRDGO;INCIDENTE GRAVE;OTHR;POUSO EM LOCAL NÃO PREVISTO;CAMPINAS;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
46444;22/08/2012;PTRPU;ACIDENTE;GCOL;COLISÃO COM OBSTÁCULOS NO SOLO;PAUINI;AM;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
46256;20/08/2012;PTHZE;ACIDENTE;USOS;POUSO ANTES DA PISTA;BELO HORIZONTE;MG;INSTRUÇÃO;FINALIZADA;SAIBA MAIS
46263;17/08/2012;PTFTB;INCIDENTE GRAVE;RE;POUSO LONGO;RIO DE JANEIRO;RJ;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
46259;17/08/2012;PTVEH;ACIDENTE;OTHR;CAUSADO POR FENÔMENO METEOROLÓGICO NO SOLO;CAMPINAS;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
46259;17/08/2012;PTVEH;ACIDENTE;RE;EXCURSÃO DE PISTA;CAMPINAS;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
46253;16/08/2012;PRODM;ACIDENTE;SCF-NP;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;ATIBAIA;SP;PARTICULAR;FINALIZADA;SAIBA MAIS
46282;12/08/2012;PTEIR;INCIDENTE GRAVE;ARC;POUSO SEM TREM;COARI;AM;PARTICULAR;FINALIZADA;SAIBA MAIS
46281;10/08/2012;PTWNM;INCIDENTE GRAVE;LOC-G;PERDA DE CONTROLE NO SOLO;MANAUS;AM;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
46281;10/08/2012;PTWNM;INCIDENTE GRAVE;RE;EXCURSÃO DE PISTA;MANAUS;AM;TÁXI AÉREO;FINALIZADA;SAIBA MAIS
46261;08/08/2012;PRDMG;ACIDENTE;CTOL;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;PORTO SEGURO;BA;PARTICULAR;FINALIZADA;SAIBA MAIS
46300;08/08/2012;PTTPY;INCIDENTE;SCF-NP;ESTOURO DE PNEU;MOSSORÓ;RN;PARTICULAR;FINALIZADA;SAIBA MAIS
